"STATION","NAME","DATE","TAVG","TMAX","TMIN"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-02",,"59","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-03",,"57","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-04",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-05",,"66","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-06",,"68","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-07",,"65","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-08",,"59","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-09",,"56","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-10",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-11",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-12",,"56","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-13",,"57","49"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-14",,"55","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-15",,"55","50"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-16",,"54","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-17",,"62","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-18",,"62","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-19",,"54","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-20",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-21",,"61","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-22",,"68","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-23",,"77","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-24",,"70","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-25",,"64","51"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-26",,"58","46"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-02-27",,"59","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-01",,"67","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-02",,"61","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-03",,"59","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-04",,"58","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-05",,"63","47"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-06",,"54","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-07",,"57","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-08",,"57","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-09",,"56","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-10",,"53","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-11",,"56","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-12",,"60","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-13",,"53","48"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-14",,"55","45"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-15",,"53","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-16",,"53","43"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-17",,"54","44"
"USW00023272","SAN FRANCISCO DOWNTOWN, CA US","2021-03-18",,"54","49"
